app_id,hours,user_id
2,36.3,1
4,11.5,2
6,336.5,3
8,27.4,4
10,7.9,5
12,8.6,6
14,538.8,7
16,157.5,8
18,18.7,9
20,397.5,10
22,30.3,11
24,50,12
26,46.7,13
28,19.3,14
30,89.1,15
32,61.1,16
34,177,17
36,86.3,18
38,244.1,19
40,320.5,20
42,850.9,21
44,7.4,22
46,40.6,23
48,10,24
50,5.7,25
52,235.1,26
54,180.6,27
56,5.9,28
58,108.8,29
60,2.7,30
62,8.5,31
64,40.3,32
66,8.1,33
68,367.1,34
70,36.3,35
72,11,36
74,55.8,37
76,124.2,38
78,197.4,39
80,99,40
82,16,41
84,166.6,42
86,98.7,43
88,23.2,44
90,0.4,45
92,119.3,46
94,0.3,47
96,878,48
98,19.2,49
100,708.6,50
102,502.3,51
104,21.4,52
106,84.6,53
108,10.7,54
110,102.7,55
112,893,56
114,27.2,57
116,224.1,58
118,41.9,59
120,39.7,60
122,223.4,61
124,934.1,62
126,93,63
128,47.4,64
130,57.8,65
132,53.4,66
134,1.1,67
136,21.1,68
138,513.7,69
140,5.9,70
142,33.5,71
144,337.8,72
146,6.4,73
148,33,74
150,48.9,75
152,114.2,76
154,158.1,77
156,776.5,78
158,23.4,79
160,17.9,80
162,259,81
164,37.9,82
166,30,83
168,413.1,84
170,8.9,85
172,69.1,86
174,58.1,87
176,466.8,88
178,178.4,89
180,33,90
182,124.1,91
184,12,92
186,152.2,93
188,528.7,94
190,95.5,95
192,27.4,96
194,635.4,97
196,307.2,98
198,44.8,99
200,197.3,100
202,38.9,101
204,172.9,102
206,9.9,103
208,17,104
210,168.5,105
212,66.6,106
214,153.8,107
216,21,108
218,60.1,109
220,35.1,110
222,298,111
224,10.8,112
226,534.8,113
228,623.9,114
230,123.1,115
232,657.7,116
234,137.3,117
236,124.9,118
238,39.2,119
240,10.1,120
242,13.2,121
244,119.1,122
246,50.7,123
248,895.5,124
250,55.4,125
252,858.1,126
254,35.1,127
256,18.1,128
258,83.3,129
260,743.8,130
262,528.3,131
264,3.8,132
266,75.8,133
268,15.9,134
270,112.3,135
272,36.8,136
274,698.9,137
276,58.3,138
278,73.3,139
280,86.3,140
282,161.9,141
284,123.1,142
286,612.5,143
288,16.8,144
290,594.6,145
292,380.7,146
294,788.5,147
296,52.1,148
298,898.7,149
300,640.5,150
302,45.7,151
304,19,152
306,64.7,153
308,705.8,154
310,219.7,155
312,29.5,156
314,66.4,157
316,955.5,158
318,40,159
320,91.9,160
322,3.8,161
324,36.4,162
326,643.1,163
328,602.5,164
330,209.3,165
332,698.4,166
334,61.4,167
336,54,168
338,5.7,169
340,251.9,170
342,17.1,171
344,9.6,172
346,159.1,173
348,491.4,174
350,3.7,175
352,893,176
354,15,177
356,21.3,178
358,139.8,179
360,145.9,180
362,514.3,181
364,383.7,182
366,55.2,183
368,151.1,184
370,28.6,185
372,60.1,186
374,255,187
376,7.3,188
378,446.9,189
380,8.2,190
382,30.7,191
384,5,192
386,76.5,193
388,165.7,194
390,544.8,195
392,118.1,196
394,96.4,197
396,65.9,198
398,21.9,199
400,44,200
402,134.1,201
404,138.4,202
406,147.8,203
408,42.5,204
410,50.3,205
412,32.1,206
414,36,207
416,186.5,208
418,123.2,209
420,540.7,210
422,95.3,211
424,76,212
426,36.5,213
428,26.8,214
430,8.1,215
432,176.9,216
434,117.3,217
436,18,218
438,29.8,219
440,708.6,220
442,103.6,221
444,88.5,222
446,45,223
448,123.6,224
450,257.9,225
452,165.5,226
454,24.3,227
456,179.7,228
458,252.7,229
460,128.1,230
462,8.2,231
464,167.9,232
466,151.8,233
468,160.9,234
470,77.3,235
472,10.5,236
474,46.3,237
476,14.5,238
478,3.4,239
480,27.5,240
482,145.2,241
484,49.7,242
486,307.6,243
488,214.6,244
490,385.7,245
492,322.8,246
494,204.3,247
496,597.3,248
498,11,249
500,22.7,250
502,30.3,251
504,496.8,252
506,260.8,253
508,0.4,254
510,422.6,255
512,10.1,256
514,38.8,257
516,74.6,258
518,17.5,259
520,593.6,260
522,60.8,261
524,530.2,262
526,356,263
528,6.1,264
530,535.9,265
532,25.5,266
534,16.4,267
536,116.9,268
538,34.4,269
540,165.9,270
542,594.3,271
544,140.1,272
546,813.1,273
548,566.3,274
550,860.6,275
552,127.7,276
554,65.1,277
556,655.9,278
558,297.1,279
560,64,280
562,13.1,281
564,234.6,282
566,553.1,283
568,200.7,284
570,269.9,285
572,696,286
574,174.3,287
576,28.4,288
578,427.8,289
580,484.5,290
582,460.5,291
584,416.4,292
586,831.2,293
588,0.3,294
590,14.1,295
592,111.4,296
594,373.4,297
596,16.3,298
598,5.8,299
600,101.2,300
602,166.5,301
604,97.9,302
606,27.4,303
608,88.5,304
610,54.9,305
612,6.3,306
614,265.8,307
616,45.6,308
618,154.7,309
620,78,310
622,6.2,311
624,293,312
626,177.6,313
628,66.7,314
630,20.4,315
632,132.4,316
634,177,317
636,8.2,318
638,133.2,319
640,414.3,320
642,133.5,321
644,247.2,322
646,513.5,323
648,211.5,324
650,163.3,325
652,829.3,326
654,70.5,327
656,149.1,328
658,137.6,329
660,197.4,330
662,35.8,331
